provinsi,kabupaten/kota,tahun,upahminimum,kenaikanupah,persentasekenaikan,upahsebelumnya
Jawa Barat,Bandung,2013,1388333,,,
Jawa Barat,Bandung,2014,1735473,347140.0,25.0,1388333.0
Jawa Barat,Bandung,2015,2001195,265722.0,15.31,1735473.0
Jawa Barat,Bandung,2016,2275715,274520.0,13.72,2001195.0
Jawa Barat,Bandung,2017,2463461,187746.0,8.25,2275715.0
Jawa Barat,Bandung,2018,2678029,214568.0,8.71,2463461.0
Jawa Barat,Bandung,2019,2893074,215045.0,8.03,2678029.0
Jawa Barat,Bandung,2020,3139275,246201.0,8.51,2893074.0
Jawa Barat,Bandung,2021,3241929,102654.0,3.27,3139275.0
Jawa Barat,Bandung,2022,3241929,0.0,0.0,3241929.0
Jawa Barat,Bandung,2023,3492465,250536.0,7.73,3241929.0
Jawa Barat,Bandung Barat,2013,1396399,,,
Jawa Barat,Bandung Barat,2014,1738476,342077.0,24.5,1396399.0
Jawa Barat,Bandung Barat,2015,2004637,266161.0,15.31,1738476.0
Jawa Barat,Bandung Barat,2016,2280175,275538.0,13.75,2004637.0
Jawa Barat,Bandung Barat,2017,2468289,188114.0,8.25,2280175.0
Jawa Barat,Bandung Barat,2018,2683277,214988.0,8.71,2468289.0
Jawa Barat,Bandung Barat,2019,2898744,215467.0,8.03,2683277.0
Jawa Barat,Bandung Barat,2020,3145427,246683.0,8.51,2898744.0
Jawa Barat,Bandung Barat,2021,3248283,102856.0,3.27,3145427.0
Jawa Barat,Bandung Barat,2022,3248283,0.0,0.0,3248283.0
Jawa Barat,Bandung Barat,2023,3480795,232512.0,7.16,3248283.0
Jawa Barat,Bandung Kota,2013,1538703,,,
Jawa Barat,Bandung Kota,2014,2000000,461297.0,29.98,1538703.0
Jawa Barat,Bandung Kota,2015,2310000,310000.0,15.5,2000000.0
Jawa Barat,Bandung Kota,2016,2626940,316940.0,13.72,2310000.0
Jawa Barat,Bandung Kota,2017,2843662,216722.0,8.25,2626940.0
Jawa Barat,Bandung Kota,2018,3091346,247684.0,8.71,2843662.0
Jawa Barat,Bandung Kota,2019,3339580,248234.0,8.03,3091346.0
Jawa Barat,Bandung Kota,2020,3623778,284198.0,8.51,3339580.0
Jawa Barat,Bandung Kota,2021,3742276,118498.0,3.27,3623778.0
Jawa Barat,Bandung Kota,2022,3774860,32584.0,0.87,3742276.0
Jawa Barat,Bandung Kota,2023,4048462,273602.0,7.25,3774860.0
Jawa Timur,Bangkalan,2013,983800,,,
Jawa Timur,Bangkalan,2014,1102000,118200.0,12.01,983800.0
Jawa Timur,Bangkalan,2015,1267300,165300.0,15.0,1102000.0
Jawa Timur,Bangkalan,2016,1414000,146700.0,11.58,1267300.0
Jawa Timur,Bangkalan,2017,1530660,116660.0,8.25,1414000.0
Jawa Timur,Bangkalan,2018,1663975,133315.0,8.71,1530660.0
Jawa Timur,Bangkalan,2019,1801406,137431.0,8.26,1663975.0
Jawa Timur,Bangkalan,2020,1954705,153299.0,8.51,1801406.0
Jawa Timur,Bangkalan,2021,1954705,0.0,0.0,1954705.0
Jawa Timur,Bangkalan,2022,1956773,2068.0,0.11,1954705.0
Jawa Timur,Bangkalan,2023,2152450,195677.0,10.0,1956773.0
Jawa Barat,Banjar,2013,950000,,,
Jawa Barat,Banjar,2014,1025000,75000.0,7.89,950000.0
Jawa Barat,Banjar,2015,1168000,143000.0,13.95,1025000.0
Jawa Barat,Banjar,2016,1327965,159965.0,13.7,1168000.0
Jawa Barat,Banjar,2017,1437522,109557.0,8.25,1327965.0
Jawa Barat,Banjar,2018,1562730,125208.0,8.71,1437522.0
Jawa Barat,Banjar,2019,1688217,125487.0,8.03,1562730.0
Jawa Barat,Banjar,2020,1831884,143667.0,8.51,1688217.0
Jawa Barat,Banjar,2021,1831884,0.0,0.0,1831884.0
Jawa Barat,Banjar,2022,1852099,20215.0,1.1,1831884.0
Jawa Barat,Banjar,2023,1998119,146020.0,7.88,1852099.0
Jawa Tengah,Banjarnegara,2013,835000,,,
Jawa Tengah,Banjarnegara,2014,920000,85000.0,10.18,835000.0
Jawa Tengah,Banjarnegara,2015,1112500,192500.0,20.92,920000.0
Jawa Tengah,Banjarnegara,2016,1265000,152500.0,13.71,1112500.0
Jawa Tengah,Banjarnegara,2017,1370000,105000.0,8.3,1265000.0
Jawa Tengah,Banjarnegara,2018,1490000,120000.0,8.76,1370000.0
Jawa Tengah,Banjarnegara,2019,1610000,120000.0,8.05,1490000.0
Jawa Tengah,Banjarnegara,2020,1748000,138000.0,8.57,1610000.0
Jawa Tengah,Banjarnegara,2021,1805000,57000.0,3.26,1748000.0
Jawa Tengah,Banjarnegara,2022,1819835,14835.0,0.82,1805000.0
Jawa Tengah,Banjarnegara,2023,1958169,138334.0,7.6,1819835.0
Daerah Istimewa Yogyakarta,Bantul,2013,993484,,,
Daerah Istimewa Yogyakarta,Bantul,2014,1125500,132016.0,13.29,993484.0
Daerah Istimewa Yogyakarta,Bantul,2015,1163800,38300.0,3.4,1125500.0
Daerah Istimewa Yogyakarta,Bantul,2016,1297700,133900.0,11.51,1163800.0
Daerah Istimewa Yogyakarta,Bantul,2017,1404760,107060.0,8.25,1297700.0
Daerah Istimewa Yogyakarta,Bantul,2018,1572150,167390.0,11.92,1404760.0
Daerah Istimewa Yogyakarta,Bantul,2019,1649800,77650.0,4.94,1572150.0
Daerah Istimewa Yogyakarta,Bantul,2020,1790500,140700.0,8.53,1649800.0
Daerah Istimewa Yogyakarta,Bantul,2021,1805000,14500.0,0.81,1790500.0
Daerah Istimewa Yogyakarta,Bantul,2022,1916848,111848.0,6.2,1805000.0
Daerah Istimewa Yogyakarta,Bantul,2023,2066439,149591.0,7.8,1916848.0
Jawa Tengah,Banyumas,2013,877500,,,
